trat;cult;mspa;ap
CatalÆo;Primeiro;1.352;2.461
CatalÆo;Primeiro;0.991;1.853
CatalÆo;Primeiro;1.851;2.739
CatalÆo;Primeiro;1.675;2.764
Registro;Primeiro;3.984;8.007
Registro;Primeiro;2.344;4.547
Registro;Primeiro;2.219;4.682
Registro;Primeiro;2.954;5.613
Bonito;Primeiro;0.565;0.610
Bonito;Primeiro;0.884;1.123
Bonito;Primeiro;0.347;0.368
Bonito;Primeiro;0.549;0.615
Prat polis;Primeiro;0.949;1.300
Prat polis;Primeiro;0.493;0.813
Prat polis;Primeiro;1.086;1.922
Prat polis;Primeiro;0.548;1.058
Arraias;Primeiro;2.826;5.737
Arraias;Primeiro;3.566;7.239
Arraias;Primeiro;1.816;3.377
Arraias;Primeiro;1.602;3.332
Marrocos;Primeiro;2.219;5.548
Marrocos;Primeiro;2.955;7.122
Marrocos;Primeiro;5.466;13.009
Marrocos;Primeiro;3.341;8.152
Arg‚lia;Primeiro;10.731;25.691
Arg‚lia;Primeiro;12.303;29.527
Arg‚lia;Primeiro;13.079;34.267
Arg‚lia;Primeiro;6.810;13.280
Bay¢var;Primeiro;10.589;18.954
Bay¢var;Primeiro;11.253;19.693
Bay¢var;Primeiro;9.993;17.388
Bay¢var;Primeiro;10.902;23.548
Digestato;Primeiro;2.833;4.703
Digestato;Primeiro;2.795;6.346
Digestato;Primeiro;0.937;1.683
Digestato;Primeiro;2.467;4.761
BoneChar;Primeiro;14.207;31.824
BoneChar;Primeiro;18.041;27.062
BoneChar;Primeiro;15.877;33.818
BoneChar;Primeiro;14.410;30.117
STP;Primeiro;13.555;18.841
STP;Primeiro;13.581;17.384
STP;Primeiro;12.402;12.030
STP;Primeiro;16.714;16.213
Controle;Primeiro;0.810;0.664
Controle;Primeiro;1.260;0.255
Controle;Primeiro;1.090;0.163
Controle;Primeiro;1.040;0.300
CatalÆo;Segundo;1.120;1.120
CatalÆo;Segundo;2.440;2.440
CatalÆo;Segundo;2.140;2.140
CatalÆo;Segundo;2.740;2.740
Registro;Segundo;1.210;2.190
Registro;Segundo;1.750;3.168
Registro;Segundo;2.280;4.127
Registro;Segundo;3.210;5.810
Bonito;Segundo;2.110;2.469
Bonito;Segundo;2.550;2.984
Bonito;Segundo;1.200;1.404
Bonito;Segundo;1.130;1.322
Prat polis;Segundo;2.220;2.642
Prat polis;Segundo;1.090;1.297
Prat polis;Segundo;1.560;1.856
Prat polis;Segundo;2.020;2.404
Arraias;Segundo;2.250;2.070
Arraias;Segundo;1.020;0.938
Arraias;Segundo;1.260;1.159
Arraias;Segundo;1.960;1.803
Marrocos;Segundo;2.350;2.750
Marrocos;Segundo;4.180;4.891
Marrocos;Segundo;2.380;2.785
Marrocos;Segundo;4.600;5.382
Arg‚lia;Segundo;1.530;1.821
Arg‚lia;Segundo;2.140;2.547
Arg‚lia;Segundo;2.260;2.689
Arg‚lia;Segundo;3.110;3.701
Bay¢var;Segundo;2.900;3.451
Bay¢var;Segundo;1.180;1.404
Bay¢var;Segundo;2.570;3.058
Bay¢var;Segundo;3.310;3.939
Digestato;Segundo;3.310;6.322
Digestato;Segundo;2.850;5.444
Digestato;Segundo;2.590;4.947
Digestato;Segundo;2.700;5.157
BoneChar;Segundo;2.460;3.838
BoneChar;Segundo;9.540;14.882
BoneChar;Segundo;6.380;9.953
BoneChar;Segundo;4.530;7.067
STP;Segundo;2.780;3.225
STP;Segundo;2.790;3.236
STP;Segundo;6.380;7.401
STP;Segundo;2.460;2.854
Controle;Segundo;0.327;0.360
Controle;Segundo;0.303;0.333
Controle;Segundo;0.312;0.343
Controle;Segundo;0.314;0.346
CatalÆo;Acumulado;2.472;3.581
CatalÆo;Acumulado;3.431;4.293
CatalÆo;Acumulado;3.991;4.879
CatalÆo;Acumulado;4.415;5.504
Registro;Acumulado;5.194;10.197
Registro;Acumulado;4.094;7.715
Registro;Acumulado;4.499;8.809
Registro;Acumulado;6.164;11.423
Bonito;Acumulado;2.675;3.079
Bonito;Acumulado;3.434;4.106
Bonito;Acumulado;1.547;1.772
Bonito;Acumulado;1.679;1.937
Prat polis;Acumulado;3.169;3.942
Prat polis;Acumulado;1.583;2.111
Prat polis;Acumulado;2.646;3.779
Prat polis;Acumulado;2.568;3.461
Arraias;Acumulado;5.076;7.807
Arraias;Acumulado;4.586;8.177
Arraias;Acumulado;3.076;4.536
Arraias;Acumulado;3.562;5.135
Marrocos;Acumulado;4.569;8.297
Marrocos;Acumulado;7.135;12.012
Marrocos;Acumulado;7.846;15.794
Marrocos;Acumulado;7.941;13.534
Arg‚lia;Acumulado;12.261;27.512
Arg‚lia;Acumulado;14.443;32.074
Arg‚lia;Acumulado;15.339;36.956
Arg‚lia;Acumulado;9.920;16.980
Bay¢var;Acumulado;13.489;22.405
Bay¢var;Acumulado;12.433;21.097
Bay¢var;Acumulado;12.563;20.446
Bay¢var;Acumulado;14.212;27.487
Digestato;Acumulado;6.143;11.025
Digestato;Acumulado;5.645;11.789
Digestato;Acumulado;3.527;6.630
Digestato;Acumulado;5.167;9.918
BoneChar;Acumulado;16.667;35.661
BoneChar;Acumulado;27.581;41.944
BoneChar;Acumulado;22.257;43.771
BoneChar;Acumulado;18.940;37.184
STP;Acumulado;16.335;22.066
STP;Acumulado;16.371;20.620
STP;Acumulado;18.782;19.431
STP;Acumulado;19.174;19.066
Controle;Acumulado;1.137;1.024
Controle;Acumulado;1.563;0.588
Controle;Acumulado;1.402;0.507
Controle;Acumulado;1.354;0.646
